epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.705,1.56665,2.37539,1.58535,0.66309,0.65832,0.67489,0.47942,1.16963,1.49531,1.47853,0.000554509,0.000554509,0.000554509
2,313.009,1.59346,1.88234,1.61674,0.80105,0.69844,0.78936,0.59051,1.08661,1.48738,1.39317,0.00108819,0.00108819,0.00108819
3,453.693,1.58327,1.7649,1.61365,0.81366,0.72736,0.79519,0.60662,1.12174,1.18701,1.43402,0.00159988,0.00159988,0.00159988
4,593.689,1.53125,1.69057,1.58517,0.81691,0.71728,0.8142,0.6305,1.05412,1.20856,1.38368,0.00156798,0.00156798,0.00156798
5,733.412,1.48687,1.59574,1.54922,0.82404,0.78198,0.83912,0.65168,1.01375,1.07511,1.33001,0.00153497,0.00153497,0.00153497
6,872.033,1.44998,1.533,1.52635,0.82765,0.74437,0.82395,0.66423,1.00142,0.95711,1.34568,0.00150197,0.00150197,0.00150197
7,1012.66,1.4127,1.47918,1.4969,0.88495,0.82984,0.87113,0.72006,0.88621,0.82628,1.24398,0.00146896,0.00146896,0.00146896
8,1153.43,1.40751,1.43897,1.49006,0.89147,0.8458,0.8864,0.72443,0.88625,0.75535,1.25144,0.00143595,0.00143595,0.00143595
9,1293.08,1.3823,1.39265,1.47616,0.88839,0.84655,0.88578,0.74309,0.83846,0.78632,1.22691,0.00140295,0.00140295,0.00140295
10,1433.4,1.37722,1.3878,1.46852,0.8632,0.8341,0.86945,0.72253,0.87389,0.79379,1.23085,0.00136994,0.00136994,0.00136994
11,1574.67,1.35358,1.36492,1.4569,0.9076,0.85428,0.8917,0.74137,0.8632,0.70046,1.21415,0.00133693,0.00133693,0.00133693
12,1715.85,1.34765,1.35201,1.45825,0.89604,0.87363,0.89187,0.74387,0.82718,0.70168,1.20846,0.00130393,0.00130393,0.00130393
13,1857.07,1.31924,1.31352,1.44093,0.89884,0.85936,0.89182,0.75331,0.82095,0.72872,1.19679,0.00127092,0.00127092,0.00127092
14,1998.53,1.30919,1.2988,1.43074,0.90209,0.86303,0.88682,0.74765,0.83705,0.71549,1.21102,0.00123791,0.00123791,0.00123791
15,2140.5,1.29975,1.27852,1.42089,0.90491,0.88335,0.90037,0.77182,0.79011,0.64712,1.17737,0.00120491,0.00120491,0.00120491
16,2281.78,1.29155,1.25453,1.41821,0.90558,0.84616,0.89311,0.75914,0.79614,0.64412,1.19963,0.0011719,0.0011719,0.0011719
17,2422.04,1.2833,1.23555,1.40591,0.91313,0.86408,0.89348,0.77203,0.74924,0.65397,1.16354,0.00113889,0.00113889,0.00113889
18,2563.13,1.28427,1.23829,1.41271,0.914,0.85653,0.90033,0.7627,0.77543,0.64643,1.19619,0.00110589,0.00110589,0.00110589
19,2705.12,1.25059,1.19734,1.38702,0.92134,0.88077,0.90601,0.79057,0.72926,0.56875,1.15013,0.00107288,0.00107288,0.00107288
20,2847.67,1.26464,1.1918,1.39198,0.91274,0.88203,0.90443,0.78759,0.72858,0.58717,1.14921,0.00103987,0.00103987,0.00103987
21,2988.75,1.24513,1.17762,1.38562,0.91016,0.89133,0.90164,0.78715,0.70201,0.55203,1.1261,0.00100687,0.00100687,0.00100687
22,3127.03,1.24734,1.17107,1.38037,0.90724,0.88194,0.9081,0.79327,0.70244,0.58096,1.13694,0.000973861,0.000973861,0.000973861
23,3265.25,1.22863,1.15662,1.37303,0.91855,0.87984,0.908,0.79442,0.69016,0.56862,1.12251,0.000940855,0.000940855,0.000940855
24,3402.68,1.21898,1.13145,1.36164,0.91945,0.88813,0.90759,0.79495,0.70722,0.55417,1.13991,0.000907848,0.000907848,0.000907848
25,3539.38,1.21271,1.1352,1.36352,0.90272,0.89326,0.91203,0.80046,0.6894,0.55501,1.11751,0.000874842,0.000874842,0.000874842
26,3676.84,1.2123,1.11288,1.35558,0.91475,0.88949,0.90768,0.79944,0.68595,0.54423,1.11646,0.000841835,0.000841835,0.000841835
27,3813.51,1.2052,1.11393,1.35494,0.91375,0.88651,0.90758,0.80538,0.68705,0.54941,1.12347,0.000808828,0.000808828,0.000808828
28,3951.88,1.1895,1.09147,1.34005,0.92946,0.87965,0.90684,0.79788,0.67673,0.54763,1.11212,0.000775822,0.000775822,0.000775822
29,4089.84,1.19719,1.0951,1.35045,0.91494,0.89832,0.91074,0.80681,0.6531,0.52459,1.10051,0.000742815,0.000742815,0.000742815
30,4226.22,1.20073,1.09939,1.35458,0.93035,0.88952,0.91417,0.80578,0.66104,0.51277,1.10425,0.000709809,0.000709809,0.000709809
31,4364.9,1.15832,1.04734,1.32298,0.92492,0.8973,0.90973,0.80556,0.66064,0.52108,1.11839,0.000676802,0.000676802,0.000676802
32,4501.96,1.17495,1.0618,1.33314,0.92499,0.89458,0.91426,0.80913,0.66034,0.50779,1.11466,0.000643795,0.000643795,0.000643795
